epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5424.76,1.29289,0.65629,1.06788,0.96618,0.95312,0.97833,0.66959,1.17512,0.55637,1.02468,0.000363239,0.000363239,0.000363239
81,5533.7,1.19138,0.59996,1.00741,0.96734,0.95312,0.96842,0.66247,1.168,0.57006,1.02311,0.000346736,0.000346736,0.000346736
82,5590.58,1.18612,0.63116,1.02731,0.96734,0.95312,0.96842,0.66247,1.168,0.57006,1.02311,0.000330233,0.000330233,0.000330233
83,5647.14,1.20487,0.61448,1.04811,0.96523,0.95312,0.97331,0.70124,1.11576,0.55172,1.00173,0.000313729,0.000313729,0.000313729
84,5703.39,1.23089,0.59841,1.06079,0.97044,0.95191,0.97612,0.72487,1.08063,0.51515,0.98434,0.000297226,0.000297226,0.000297226
85,5760.37,1.10883,0.56195,1.03825,0.97044,0.95191,0.97612,0.72487,1.08063,0.51515,0.98434,0.000280723,0.000280723,0.000280723
86,5818.59,1.218,0.60871,1.07458,0.96969,0.95197,0.97831,0.732,1.05866,0.52575,0.97734,0.00026422,0.00026422,0.00026422
87,5877.44,1.14621,0.55043,1.04159,0.96488,0.95312,0.97664,0.71896,1.09073,0.53607,0.9881,0.000247716,0.000247716,0.000247716
88,5936.78,1.10539,0.56605,0.97232,0.96488,0.95312,0.97664,0.71896,1.09073,0.53607,0.9881,0.000231213,0.000231213,0.000231213
89,5995.04,1.27893,0.61322,1.09816,0.9634,0.95312,0.97588,0.71155,1.19328,0.54592,1.03087,0.00021471,0.00021471,0.00021471
90,6054.13,1.12632,0.56771,0.9953,0.9634,0.95312,0.97588,0.71155,1.19328,0.54592,1.03087,0.000198206,0.000198206,0.000198206
91,6112.8,1.21584,0.59772,1.06848,0.95935,0.95312,0.97536,0.69237,1.23159,0.55102,1.05255,0.000181703,0.000181703,0.000181703
92,6171.25,1.27216,0.60618,1.09099,0.96195,0.95312,0.97766,0.68599,1.20782,0.54149,1.04387,0.0001652,0.0001652,0.0001652
93,6229.64,1.19251,0.58768,1.03649,0.96195,0.95312,0.97766,0.68599,1.20782,0.54149,1.04387,0.000148696,0.000148696,0.000148696
94,6288.17,1.16945,0.57858,1.02207,0.96363,0.95312,0.97818,0.70737,1.16089,0.51893,1.01864,0.000132193,0.000132193,0.000132193
95,6345.78,1.10116,0.52516,1.02786,0.96694,0.95312,0.97988,0.73039,1.08717,0.50693,0.9855,0.00011569,0.00011569,0.00011569
96,6403.26,1.10743,0.52376,1.00573,0.96694,0.95312,0.97988,0.73039,1.08717,0.50693,0.9855,9.91865e-05,9.91865e-05,9.91865e-05
97,6460.87,1.12319,0.52998,1.02986,0.96861,0.95312,0.98042,0.73727,1.05794,0.50962,0.97512,8.26832e-05,8.26832e-05,8.26832e-05
98,6519.03,1.10602,0.54313,0.98817,0.96861,0.95312,0.98042,0.73727,1.05794,0.50962,0.97512,6.61799e-05,6.61799e-05,6.61799e-05
99,6577.09,1.13158,0.53563,1.01073,0.96939,0.95312,0.98014,0.73855,1.05503,0.51073,0.9723,4.96766e-05,4.96766e-05,4.96766e-05
100,6640.13,1.10687,0.53103,1.01628,0.96944,0.95312,0.97938,0.73534,1.05977,0.51154,0.97246,3.31733e-05,3.31733e-05,3.31733e-05
